Airport_Code
LFOJ
LFHG
LFHS
LFLC
LFQK
LFQJ
LFPV
LFKL
LFLY
LFQL
LFGV
LFPB
LFML
LFOY
LFJR
LFRN
LFMN
LFPL
LFMT
LFPO
LFRK
LFAY
LFLU
LFSN
LFQQ
LFQA
LFRG
LFGI
LFNR
LFGB
LFPM
LFEZ
LFGA
LFNT
LFST
LFMD
LFQN
LFDK
LFDY
LFAC
LFGS
LFCL
LFOR
LFPY
LFOP
LFBP
LFCE
LFCV
LFRS
LFQM
LFPT
LFME
LFBN
LFMP
LFRZ
LFTH
LFFE
LFRB
LFSD
LFBZ
LFTW
LFPX
LFXU
LFDW
LFLG
LFLO
LFAK
LFBL
LFQB
LFAT
LFBU
LFRV
LFPZ
LFOT
LFAU
LFDP
LFNL
LFRM
LFBR
LFLM
LFRH
LFHV
LFGM
LFLI
LFQV
LFMQ
LFEX
LFDT
LFRD
LFMH
LFOU
LFPE
LFBV
LFPN
LFOW
LFHY
LFBY
LFBE
LFSM
LFBA
LFNP
LFRQ
LFLH
LFTZ
LFHM
LFPH
LFGO
LFRT
LFBT
LFSB
LFMZ
LFOV
LFSH
LFLP
LFOB
LFIX
