Airport_Code
EDFM
EDDB
EDDT
EDDL
EDDN
EDJA
EDDH
EDLW
EDDP
EDDR
EDFE
EDHL
EDDC
EDRT
EDKA
EDDW
EDVA
EDDV
EDDK
EDDF
EDAC
EDFZ
ETNL
EDFQ
EDGS
EDRN
EDMA
EDXB
