Airport_Code
LECU
LEBL
LELC
LEIB
LEVT
LESA
LEMG
LEVX
LEVC
LEGA
LELO
LELL
LEPP
LEGT
LEXJ
LEAM
LEBB
LEBG
GCLP
GCXO
LEZL
LEZG
LEDA
LERT
LEAS
LFIX
LEVD
LESB
LEBZ
LEGE
GCFV
GCRR
LEJR
GEML
LELN
LEBA
