Alpha_0.1,Alpha_1,Alpha_10,Features
0.676013485,0.669211814,0.632668131,Score
-683.2945583,-358.5360246,153.2107613,Intercept
52.03625371,45.4017824,9.236125239,Open Hours
45.81633172,46.82662173,57.09008809,Labour Hours
5.344980975,3.59581071,0,rain
-54.27503168,0,0,snow
11.25193718,10.16618336,0,meantempi
-9.312934049,-11.33993746,-2.34507162,meandewpti
-1.195369123,-1.574368188,-0.915637702,meanwindspdi
4.442335627,4.424372936,0.778209987,humidity
-117.5521223,0,0,precipi
-77.89714396,0,0,"Holiday_Event_
World Book Day"
504.9403959,28.47912703,0,Holiday_Event_Bank Holiday (Scot & Ni)
441.5672766,0.422500516,0,Holiday_Event_Black Friday
59.56852538,0,0,Holiday_Event_Bonfire Night
-38.02548203,0,0,Holiday_Event_Boxing Day (Bhol)
-964.5067349,-506.9143606,0,Holiday_Event_Christmas Eve
-257.2131307,0,0,Holiday_Event_Comic Relief  
-782.5609725,0,0,Holiday_Event_Easter Sunday
39.48898139,0,0,Holiday_Event_England/Wales Christmas Holidays End
-237.684037,0,0,Holiday_Event_Fathers Day
0,0,0,Holiday_Event_Good Friday (Bhol)
-4.751747326,0,0,Holiday_Event_Halloween
436.0057633,90.24099787,0,Holiday_Event_Maw World Wish Day
847.8239557,405.5970828,0,Holiday_Event_May Day Bank Holiday
-288.267205,0,0,Holiday_Event_Mothers Day
-1804.196518,-563.4147634,0,Holiday_Event_New Years Day
-1082.486117,-611.4073793,0,Holiday_Event_New Years Eve
276.4268092,17.15593853,0,Holiday_Event_Ni Christmas Holidays Ends
0,-48.46616857,0,Holiday_Event_None
-61.34750055,0,0,Holiday_Event_Orangemans Day Bhol  (Ni)
143.0439771,0,0,Holiday_Event_Rememberance Sunday
157.2257101,24.04545089,0,Holiday_Event_School Hol
9.566565585,0,0,Holiday_Event_Scottish Christmas Holidays End
-85.43520353,0,0,Holiday_Event_Shrove Tuesday
28.46973034,0,0,Holiday_Event_Spring Bank Holiday School Hol (Eng / Wales)
296.6455111,0,0,Holiday_Event_St Georges Day (England)
-71.17294916,0,0,Holiday_Event_St Patricks Day (Ni Bhol)
280.5645969,0,0,Holiday_Event_Valentines Day
127.7332078,0,0,Holiday_Period_All School Hols
-0.01113836,8.972887762,232.2215878,Holiday_Period_Christmas
71.23734365,0,0,Holiday_Period_Easter
397.1767191,201.3435084,0,Holiday_Period_Halloween
-155.1754601,-184.6074756,-198.2477867,Holiday_Period_None
469.7669745,188.5785389,0,Holiday_Period_School Hols
-189.6033382,-241.7053393,-130.5246631,Holiday_Period_Scotland School Hols
-174.8642951,-209.8850194,0,Holiday_Period_St Patricks Day
-177.528792,-241.5853371,-185.4242484,Promo_Es342
6.65506171,11.36593124,0,Promo_Esb3G2
-49.48352013,-111.675843,0,Promo_Esb3G3
95.97135019,88.19213281,65.3409616,Promo_Esb3G3 / Secret Sale 342
-87.74596079,0,0,Sales_Promo_545
94.48559789,249.5467183,187.4198826,Sales_Promo_345
0,-11.06196891,-14.89907134,Sales_Promo_545 (Over €5 @ €5)
107.0930159,108.5642035,42.81138618,Sales_Promo_75% Off
37.35629075,31.41663752,0,Cluster_0
-299.856084,-296.1271644,-243.3606859,Cluster_1
-101.785277,-57.76144258,0,Cluster_2
984.8439221,956.4906833,615.2497612,Cluster_3
-146.0941716,-87.62160327,-6.759017591,Day_of_Week_0
-67.55954158,-59.96535582,-10.84649821,Day_of_Week_1
0,0,0,Day_of_Week_2
-0.531232613,0,0,Day_of_Week_3
192.1693544,174.2779654,64.13484111,Day_of_Week_4
1025.172849,1003.247112,846.7266551,Day_of_Week_5
576.6379653,490.4135926,301.6793385,Day_of_Week_6
117.8872184,164.8581555,0,Week_Num_1
-3.602666726,0,0,Week_Num_2
20.48965826,0,0,Week_Num_3
73.50188021,4.721381402,0,Week_Num_4
-30.50871099,0,0,Week_Num_5
-129.5691406,-89.31365328,0,Week_Num_6
-186.631279,0,0,Week_Num_7
-122.3778647,0,0,Week_Num_8
64.34745652,0,0,Week_Num_9
-117.6534417,-68.1113217,0,Week_Num_10
