,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,1,0,0,2,2,1,0,3,5,6,11,11,11,0,8,1,7,15,0
1,0,1,0,0,2,2,1,0,3,5,6,2,3,9,14,9,9,0,14,14
2,0,1,0,0,0,5,1,0,3,1,5,2,3,9,14,14,9,0,3,17
3,0,1,2,1,3,4,3,2,4,7,3,0,9,0,12,3,16,15,18,10
4,0,1,0,0,0,5,4,4,5,1,5,6,0,7,7,14,4,3,3,17
5,0,0,1,3,2,2,6,3,8,2,7,8,1,3,9,1,3,8,1,11
6,0,1,0,0,0,5,4,0,5,1,5,2,3,9,14,14,9,3,3,17
7,0,1,0,0,2,2,1,0,3,5,6,11,11,11,0,8,1,12,0,5
8,0,1,2,1,0,5,4,4,1,0,8,9,12,5,2,0,2,10,10,8
9,0,1,0,0,0,5,4,4,5,1,5,6,0,7,5,14,4,3,3,17
10,0,1,0,0,0,5,1,0,3,5,6,11,11,11,0,8,0,12,0,5
11,0,1,2,1,3,4,3,2,4,7,3,0,9,0,12,3,13,15,18,10
12,0,1,0,0,0,5,1,0,5,1,5,6,3,9,14,14,0,3,3,17
13,0,1,0,0,0,5,4,4,5,3,1,1,12,1,8,11,10,10,12,1
14,0,1,0,0,0,5,4,4,5,1,5,6,3,9,14,14,4,3,3,17
15,0,1,2,1,0,5,4,4,5,3,8,1,12,1,5,0,10,10,10,1
16,0,0,1,3,2,2,6,3,8,2,7,8,1,3,9,1,1,7,15,0
17,0,1,0,0,0,5,4,4,5,1,5,6,3,9,14,14,4,3,3,17
18,0,1,0,0,0,5,1,0,3,5,6,2,3,9,14,9,9,0,14,5
19,0,1,0,0,0,5,4,4,5,1,5,6,0,7,7,0,4,3,17,17
20,0,1,0,0,0,5,1,0,3,5,6,11,11,11,0,8,0,12,0,5
21,0,1,0,0,0,5,4,4,5,1,5,6,0,7,7,14,4,3,17,8
22,0,1,0,0,2,2,1,0,3,5,6,2,11,11,0,9,1,7,15,5
23,0,1,0,0,0,5,1,0,3,1,6,2,3,9,14,14,0,3,3,17
24,0,1,0,0,2,2,1,0,3,5,6,2,3,9,0,9,9,0,14,14
25,0,1,2,1,3,4,3,2,4,7,3,0,9,0,2,3,13,4,10,13
26,0,1,0,0,0,5,4,4,5,1,5,6,3,9,14,14,4,3,3,17
27,0,1,0,0,0,5,4,4,5,3,1,1,12,1,5,11,10,10,9,1
28,0,1,2,1,3,4,4,4,1,0,8,9,2,5,2,10,2,2,2,7
29,0,1,0,0,0,5,1,0,3,3,1,11,12,1,8,11,0,12,0,18
30,0,1,0,0,2,2,1,0,3,5,6,2,11,11,0,9,9,0,14,5
31,0,1,2,1,0,4,3,2,1,3,8,1,12,5,2,11,2,10,10,1
32,0,1,0,0,0,5,4,4,5,3,1,1,12,1,8,11,10,11,17,8
33,0,1,0,0,0,5,4,4,5,1,5,6,0,7,7,0,4,11,17,8
34,0,1,0,0,2,2,1,0,3,5,6,2,3,9,0,9,9,0,14,5
35,0,1,0,0,0,5,1,0,3,5,6,2,3,9,0,9,9,0,14,5
36,0,1,0,0,0,5,4,4,5,1,5,6,12,1,5,14,4,3,9,17
37,0,1,0,0,0,5,4,4,5,1,5,6,0,7,5,14,4,3,9,17
38,0,1,0,0,0,5,4,4,5,1,5,6,0,7,14,14,4,3,3,17
39,0,1,0,0,2,2,1,0,3,5,6,11,11,11,0,8,0,12,0,18
40,0,1,0,0,2,2,1,3,3,5,6,11,11,11,0,8,1,7,15,0
41,0,1,0,0,0,5,4,4,5,3,1,1,12,1,8,11,10,10,12,1
42,0,1,0,0,0,5,1,0,3,3,1,11,12,1,0,11,10,12,9,5
43,0,1,0,0,2,2,1,0,3,5,6,2,3,9,0,9,9,0,14,5
44,0,1,0,0,0,5,4,4,5,1,5,6,3,9,14,14,4,3,3,17
45,0,1,0,0,0,5,1,0,3,1,6,2,3,9,14,14,0,12,3,5
46,0,1,0,0,0,5,4,4,5,1,5,6,0,7,5,14,4,3,3,17
47,0,1,0,0,2,2,1,0,3,5,6,11,11,11,0,8,1,12,0,5
48,0,1,2,1,3,4,3,2,1,0,8,9,2,5,2,10,2,2,2,7
49,0,1,0,0,2,2,1,0,3,5,6,2,3,9,14,9,9,0,14,14
50,0,0,1,3,2,2,6,3,8,2,7,8,1,3,9,1,1,7,15,0
51,0,1,0,0,0,5,4,4,5,1,5,6,0,7,5,14,4,3,3,17
52,0,1,0,0,0,5,4,4,5,1,5,6,0,7,7,14,4,3,3,17
53,0,1,0,0,0,5,4,0,5,1,5,6,3,9,14,14,4,3,3,17
54,0,0,1,3,2,2,6,3,8,2,7,8,1,3,9,1,3,8,1,11
55,0,1,0,0,0,5,4,4,5,1,5,6,0,7,7,14,4,3,3,17
56,0,1,0,0,0,5,4,4,5,1,5,6,3,7,5,14,4,3,3,17
57,0,0,1,3,4,3,2,1,2,4,2,5,10,13,1,6,11,1,13,6
58,0,1,0,0,0,5,1,0,5,3,1,1,12,1,5,11,10,10,9,5
59,0,1,0,0,0,5,1,0,3,5,6,11,11,11,0,8,10,12,0,5
60,0,1,0,0,0,5,1,0,3,5,6,2,3,9,0,9,9,0,14,5
61,0,0,1,3,4,3,2,1,2,4,2,5,7,2,1,6,5,1,5,2
62,0,1,0,0,0,5,4,4,5,1,5,6,0,7,7,0,4,11,17,8
63,0,1,0,0,0,5,4,4,5,3,1,1,12,1,5,11,10,10,9,1
64,0,1,2,1,3,4,3,2,4,7,3,0,9,0,12,3,13,4,18,13
65,0,1,2,1,3,4,3,2,4,7,3,0,9,0,8,3,13,4,12,13
66,0,1,0,0,0,5,4,4,5,3,1,1,12,1,5,11,10,10,9,1
67,0,1,2,1,0,4,3,2,4,3,1,1,12,1,8,11,10,4,12,1
68,0,1,0,0,0,4,3,2,5,3,1,1,12,1,8,11,10,4,12,1
69,0,0,1,3,4,3,6,1,2,2,2,5,10,13,6,4,11,17,13,6
70,0,1,0,0,0,5,4,4,5,1,5,6,3,9,14,14,0,3,3,17
71,0,1,2,1,3,4,3,2,1,0,8,9,2,5,2,10,2,2,10,13
72,0,1,2,1,3,4,3,2,1,0,8,9,2,5,2,10,2,2,2,7
73,0,1,2,1,3,4,3,2,4,3,3,0,9,0,8,3,13,4,12,13
74,0,1,2,1,3,4,3,2,4,7,3,0,9,0,12,3,16,15,18,13
75,0,1,0,0,2,2,1,3,4,7,3,11,11,11,12,8,1,7,15,0
76,0,1,0,0,0,5,4,4,5,1,5,6,0,7,7,14,4,3,3,17
77,0,1,0,0,0,5,1,0,5,3,1,1,12,1,5,11,10,10,9,5
78,0,1,0,0,0,5,4,4,5,1,5,6,3,1,14,14,0,12,3,17
79,0,1,0,0,0,5,4,4,5,1,5,6,0,7,7,0,4,11,17,8
80,0,1,0,0,0,5,4,4,5,1,5,6,3,9,5,14,4,3,3,17
81,0,0,1,3,2,2,6,3,8,2,7,8,1,3,9,1,3,8,1,11
82,0,0,1,3,4,3,6,1,2,2,2,5,10,13,13,4,11,17,13,6
83,0,1,0,0,0,5,4,4,5,1,5,6,0,7,7,0,4,11,17,8
84,0,1,0,0,2,2,1,0,3,5,6,2,11,11,0,9,9,10,9,5
85,0,1,0,0,2,2,1,0,3,5,6,2,3,9,14,9,9,0,14,14
86,0,1,0,0,2,2,1,0,3,5,6,2,11,11,0,9,9,0,14,14
87,0,1,2,1,3,4,3,2,4,7,3,0,9,0,12,3,13,4,18,13
88,0,1,0,0,0,5,1,0,5,3,1,1,12,1,5,11,10,10,9,5
89,0,1,0,0,0,5,4,4,5,1,5,6,0,7,7,0,4,11,17,8
90,0,1,0,0,2,2,1,0,3,5,6,2,11,11,0,9,9,0,14,5
91,0,1,0,0,0,5,4,4,5,1,5,6,0,7,7,0,4,11,17,8
92,0,1,0,0,0,5,3,4,5,3,1,1,12,1,8,11,10,4,12,1
93,0,1,0,0,0,5,1,0,5,3,1,1,12,1,5,11,10,10,9,5
94,0,1,0,0,0,5,4,4,5,1,5,6,3,1,5,14,10,3,3,17
95,0,1,0,0,2,2,1,0,3,5,6,11,11,11,0,8,0,12,0,18
96,0,1,2,1,0,4,4,4,1,0,8,9,12,5,2,0,2,2,10,1
97,0,1,0,0,0,5,1,0,3,5,6,2,3,9,5,9,10,10,9,5
98,0,1,2,1,3,4,3,2,4,7,3,0,9,0,2,3,13,4,10,13
99,0,1,0,0,2,2,1,0,3,5,6,11,11,11,0,8,0,12,0,18
100,0,1,2,1,0,5,4,4,1,0,8,9,0,7,7,0,4,11,17,8
101,0,1,2,1,3,0,0,6,7,6,0,7,6,10,3,13,7,6,8,9
102,0,1,0,0,0,5,1,0,5,3,1,1,12,1,5,11,10,10,9,5
103,0,1,0,0,0,5,4,4,5,1,5,6,0,7,14,14,4,3,3,17
104,0,1,0,0,0,5,1,0,3,5,6,2,3,9,14,9,9,0,14,5
105,0,1,0,0,0,5,3,4,5,3,1,1,12,1,8,11,10,4,12,1
106,0,1,2,1,0,5,4,4,1,0,8,9,12,5,2,0,2,10,10,1
107,0,1,0,0,0,5,4,4,5,1,5,6,0,7,7,14,4,3,3,17
108,0,0,0,0,2,2,6,3,8,5,7,8,11,11,9,8,1,7,15,0
109,0,1,2,1,3,4,3,2,4,0,3,0,2,0,2,10,2,2,10,13
110,0,0,1,3,2,2,6,3,8,2,7,8,1,3,9,1,3,8,1,11
111,0,1,0,0,0,5,4,4,5,3,1,1,12,1,8,11,10,10,12,1
112,0,0,1,3,2,2,6,3,8,2,7,8,1,3,9,1,3,8,1,11
