Airport_Code
EGNM
EGKA
EGGW
EGBN
EGTE
EGNX
EGTG
EGBB
EGHI
EGGD
EGHJ
EGNS
EGNV
EGNJ
EGFH
EGBJ
EGTB
EGMC
EGPH
EGLC
EGWU
EGHH
EGPF
EGAC
EGSC
EGNR
EGLL
EGCC
EGGP
EGTO
EGBE
EGPN
EGVN
EGKK
EGNH
EGSH
EGOV
EGSS
EGYM
EGHC
EGNC
EGAE
EGPD
EGQL
EGNT
EGAB
EGFF
EGJJ
EGDY
EGAA
EGNL
EGMH
EGXU
EGPK
EGUL
EGCN
EGFE
EGUN
EGPE
EGQK
EGJB
EGDJ
